time_s,CH1_V,CH2_V
9.900017785484558578e-04,9.411764705882352811e-01,3.921568627450980338e-02
9.900037785483992939e-04,8.627450980392157298e-01,-7.843137254901960675e-02
9.900057785483427301e-04,8.235294117647058432e-01,7.843137254901960675e-02
9.900077785482861662e-04,9.019607843137255054e-01,-3.921568627450980338e-02
9.900097785482296023e-04,9.411764705882352811e-01,0.000000000000000000e+00
9.900117785481730385e-04,8.235294117647058432e-01,7.843137254901960675e-02
9.900137785481164746e-04,9.411764705882352811e-01,-7.843137254901960675e-02
9.900157785480599108e-04,8.627450980392157298e-01,1.568627450980392135e-01
9.900177785480033469e-04,9.411764705882352811e-01,-3.921568627450980338e-02
9.900197785479467830e-04,8.235294117647058432e-01,0.000000000000000000e+00
9.900217785478902192e-04,9.019607843137255054e-01,7.843137254901960675e-02
9.900237785478336553e-04,9.019607843137255054e-01,0.000000000000000000e+00
9.900257785477770914e-04,9.019607843137255054e-01,0.000000000000000000e+00
9.900277785477205276e-04,8.235294117647058432e-01,0.000000000000000000e+00
9.900297785476639637e-04,8.627450980392157298e-01,0.000000000000000000e+00
9.900317785476073999e-04,8.627450980392157298e-01,7.843137254901960675e-02
9.900337785475508360e-04,9.411764705882352811e-01,-7.843137254901960675e-02
9.900357785474942721e-04,8.235294117647058432e-01,7.843137254901960675e-02
9.900377785474377083e-04,9.411764705882352811e-01,0.000000000000000000e+00
9.900397785473811444e-04,9.019607843137255054e-01,7.843137254901960675e-02
9.900417785473245805e-04,9.411764705882352811e-01,3.921568627450980338e-02
9.900437785472680167e-04,9.019607843137255054e-01,-7.843137254901960675e-02
9.900457785472114528e-04,8.627450980392157298e-01,7.843137254901960675e-02
9.900477785471548890e-04,9.411764705882352811e-01,-3.921568627450980338e-02
9.900497785470983251e-04,9.411764705882352811e-01,-3.921568627450980338e-02
9.900517785470417612e-04,8.235294117647058432e-01,7.843137254901960675e-02
9.900537785469851974e-04,9.019607843137255054e-01,-1.568627450980392135e-01
9.900557785469286335e-04,9.019607843137255054e-01,1.176470588235294101e-01
9.900577785468720696e-04,9.411764705882352811e-01,0.000000000000000000e+00
9.900597785468155058e-04,8.627450980392157298e-01,0.000000000000000000e+00
9.900617785467589419e-04,8.627450980392157298e-01,7.843137254901960675e-02
9.900637785467023781e-04,9.019607843137255054e-01,-7.843137254901960675e-02
9.900657785466458142e-04,9.411764705882352811e-01,3.921568627450980338e-02
9.900677785465892503e-04,8.627450980392157298e-01,0.000000000000000000e+00
9.900697785465326865e-04,9.411764705882352811e-01,0.000000000000000000e+00
9.900717785464761226e-04,9.019607843137255054e-01,7.843137254901960675e-02
9.900737785464195587e-04,9.411764705882352811e-01,-7.843137254901960675e-02
9.900757785463629949e-04,8.627450980392157298e-01,7.843137254901960675e-02
9.900777785463064310e-04,9.019607843137255054e-01,0.000000000000000000e+00
9.900797785462498671e-04,9.411764705882352811e-01,3.921568627450980338e-02
9.900817785461933033e-04,9.411764705882352811e-01,7.843137254901960675e-02
9.900837785461367394e-04,8.627450980392157298e-01,-7.843137254901960675e-02
9.900857785460801756e-04,8.627450980392157298e-01,3.921568627450980338e-02
9.900877785460236117e-04,9.019607843137255054e-01,-3.921568627450980338e-02
9.900897785459670478e-04,9.411764705882352811e-01,-3.921568627450980338e-02
9.900917785459104840e-04,8.235294117647058432e-01,7.843137254901960675e-02
9.900937785458539201e-04,8.627450980392157298e-01,-1.568627450980392135e-01
9.900957785457973562e-04,9.019607843137255054e-01,1.176470588235294101e-01
9.900977785457407924e-04,9.411764705882352811e-01,0.000000000000000000e+00
9.900997785456842285e-04,8.627450980392157298e-01,0.000000000000000000e+00
9.901017785456276647e-04,9.019607843137255054e-01,7.843137254901960675e-02
9.901037785455711008e-04,9.019607843137255054e-01,-3.921568627450980338e-02
9.901057785455145369e-04,9.019607843137255054e-01,7.843137254901960675e-02
9.901077785454579731e-04,8.627450980392157298e-01,0.000000000000000000e+00
9.901097785454014092e-04,9.019607843137255054e-01,0.000000000000000000e+00
9.901117785453448453e-04,9.019607843137255054e-01,3.921568627450980338e-02
9.901137785452882815e-04,9.411764705882352811e-01,-3.921568627450980338e-02
9.901157785452317176e-04,8.235294117647058432e-01,7.843137254901960675e-02
9.901177785451751538e-04,9.019607843137255054e-01,0.000000000000000000e+00
9.901197785451185899e-04,9.019607843137255054e-01,7.843137254901960675e-02
