time_s,CH1_V,CH2_V
9.900014752903189396e-04,9.411764705882352811e-01,-7.843137254901960675e-02
9.900034752902623757e-04,8.627450980392157298e-01,1.176470588235294101e-01
9.900054752902058119e-04,9.019607843137255054e-01,-1.568627450980392135e-01
9.900074752901492480e-04,9.019607843137255054e-01,7.843137254901960675e-02
9.900094752900926841e-04,9.411764705882352811e-01,3.921568627450980338e-02
9.900114752900361203e-04,8.627450980392157298e-01,-7.843137254901960675e-02
9.900134752899795564e-04,9.019607843137255054e-01,1.176470588235294101e-01
9.900154752899229926e-04,9.019607843137255054e-01,-3.921568627450980338e-02
9.900174752898664287e-04,9.411764705882352811e-01,0.000000000000000000e+00
9.900194752898098648e-04,8.235294117647058432e-01,7.843137254901960675e-02
9.900214752897533010e-04,9.019607843137255054e-01,-1.960784313725490169e-01
9.900234752896967371e-04,9.019607843137255054e-01,1.568627450980392135e-01
9.900254752896401732e-04,9.411764705882352811e-01,-3.921568627450980338e-02
9.900274752895836094e-04,8.627450980392157298e-01,0.000000000000000000e+00
9.900294752895270455e-04,8.627450980392157298e-01,7.843137254901960675e-02
9.900314752894704817e-04,9.411764705882352811e-01,-7.843137254901960675e-02
9.900334752894139178e-04,9.411764705882352811e-01,1.176470588235294101e-01
9.900354752893573539e-04,8.627450980392157298e-01,-7.843137254901960675e-02
9.900374752893007901e-04,9.019607843137255054e-01,7.843137254901960675e-02
9.900394752892442262e-04,9.019607843137255054e-01,1.176470588235294101e-01
9.900414752891876623e-04,9.411764705882352811e-01,-7.843137254901960675e-02
9.900434752891310985e-04,8.627450980392157298e-01,7.843137254901960675e-02
9.900454752890745346e-04,9.019607843137255054e-01,-7.843137254901960675e-02
9.900474752890179708e-04,9.019607843137255054e-01,7.843137254901960675e-02
9.900494752889614069e-04,9.411764705882352811e-01,0.000000000000000000e+00
9.900514752889048430e-04,8.627450980392157298e-01,-7.843137254901960675e-02
9.900534752888482792e-04,8.627450980392157298e-01,1.176470588235294101e-01
9.900554752887917153e-04,8.627450980392157298e-01,-7.843137254901960675e-02
9.900574752887351514e-04,9.411764705882352811e-01,0.000000000000000000e+00
9.900594752886785876e-04,8.627450980392157298e-01,7.843137254901960675e-02
9.900614752886220237e-04,9.019607843137255054e-01,-1.960784313725490169e-01
9.900634752885654599e-04,9.019607843137255054e-01,1.568627450980392135e-01
9.900654752885088960e-04,9.411764705882352811e-01,-3.921568627450980338e-02
9.900674752884523321e-04,8.235294117647058432e-01,0.000000000000000000e+00
9.900694752883957683e-04,8.627450980392157298e-01,3.921568627450980338e-02
9.900714752883392044e-04,9.019607843137255054e-01,0.000000000000000000e+00
9.900734752882826405e-04,9.019607843137255054e-01,7.843137254901960675e-02
9.900754752882260767e-04,8.235294117647058432e-01,-7.843137254901960675e-02
9.900774752881695128e-04,9.019607843137255054e-01,3.921568627450980338e-02
9.900794752881129489e-04,8.627450980392157298e-01,7.843137254901960675e-02
9.900814752880563851e-04,9.411764705882352811e-01,-7.843137254901960675e-02
9.900834752879998212e-04,8.235294117647058432e-01,7.843137254901960675e-02
9.900854752879432574e-04,9.019607843137255054e-01,-7.843137254901960675e-02
9.900874752878866935e-04,9.019607843137255054e-01,7.843137254901960675e-02
9.900894752878301296e-04,9.411764705882352811e-01,3.921568627450980338e-02
9.900914752877735658e-04,8.627450980392157298e-01,-7.843137254901960675e-02
9.900934752877170019e-04,9.019607843137255054e-01,1.176470588235294101e-01
9.900954752876604380e-04,9.019607843137255054e-01,-7.843137254901960675e-02
9.900974752876038742e-04,9.411764705882352811e-01,0.000000000000000000e+00
